name,color,x,y
Blackblade Reforged,#777777,-2.850596987171153,-0.7113155369548009
Worship,#FFFFFF,0.7710254601973272,0.5044431121925685
True Conviction,#FFFFFF,0.8482345318454025,1.9172481068897225
Shielded by Faith,#FFFFFF,0.7325445525443783,-0.2015791160932794
Rest in Peace,#FFFFFF,0.6935270675620434,-0.9092487468382435
Path to Exile,#FFFFFF,0.6543137662581665,-1.6175487385961371
Martyr's Bond,#FFFFFF,0.8481085491743935,1.916857511465894
Gideon Jura,#FFFFFF,0.8093889886622583,1.2101217161610194
Cabal Therapist,#000000,-0.034710714987338506,-1.4939061083658682
Serra the Benevolent,#FFFFFF,0.770847445661004,0.5039210081433102
Diabolic Edict,#000000,-0.01582669651391826,-0.8713322647570286
"Nissa, Who Shakes the World Emblem",#777777,-2.927494240757335,-2.1232697019321094
Servo,#777777,-2.9078504550090623,-2.039536870511521
"Voja, Friend to Elves",#FFD700,7.015461206046157,-2.594394172543618
Citizen,#FFD700,19.06561326458652,-3.2667889865838022
Wolf,#008000,-0.7809108713350736,-2.156884544956656
Goblin,#FF0000,-2.1986651586599635,-2.0780254070339432
Dragon,#FF0000,-2.1986902483996675,-2.078120050570793
Devil,#FF0000,-2.1986001220618583,-2.0778447921094405
Zombie Warrior,#000000,-0.07222580508363477,-2.196881895904089
Zombie Army,#000000,-0.07207670999578046,-2.196424118955608
Zombie,#000000,-0.07219152604596514,-2.1967694521688714
Assassin,#000000,-0.07212591443205256,-2.1965841361894323
Wizard,#0000FF,-1.4897013013931026,-2.117193167952555
Wall,#FFFFFF,0.636850089510249,-2.235698848186538
Soldier,#FFFFFF,0.63668469126285,-2.2361870604369987
Angel,#FFFFFF,0.6367457820587642,-2.235993188793329
Spirit,#777777,-2.9072729088867693,-2.037801353209931
Sarkhan Unbroken,#FFD700,8.60632450765404,0.7743602579545175
"Nahiri, the Harbinger",#FFD700,3.6060377847093283,0.3452741993841644
"Nicol Bolas, Dragon-God",#FFD700,9.315101694136397,0.7346388914683699
"Garruk, Apex Predator",#FFD700,6.557149825642882,2.306176932987859
Tezzeret the Seeker,#0000FF,-1.316996973283875,1.3291270143556881
"Jace, the Mind Sculptor",#0000FF,-1.3558198338952527,0.622046450919534
Gideon Blackblade,#FFFFFF,0.7320724949286586,-0.20299471825981183
"Ugin, the Spirit Dragon",#777777,-2.618794747706602,3.527598776233062
"Tezzeret, Master of the Bridge",#FFD700,5.100942272781639,1.6790601895804818
Simic Guildgate,#FFD700,4.159887238336307,-2.5216835826722512
Jace's Ruse,#0000FF,-1.317411364819591,1.327831362977272
Jace's Projection,#0000FF,-1.3364667194833204,0.7047031367948371
Guildpact Informant,#0000FF,-1.375030914140456,-0.001571259201540087
"Jace, Arcane Strategist",#0000FF,-1.2783279397149472,2.0357273708889068
Orzhov Guildgate,#FFD700,7.704009442622049,-2.7195732466331437
Gideon's Company,#FFFFFF,0.7901146086071682,0.5862977625358118
Gideon's Battle Cry,#FFFFFF,0.7706395632607373,0.5032618600419223
Desperate Lunge,#FFFFFF,0.6930312198004962,-0.9108038065575423
"Gideon, the Oathsworn",#FFFFFF,0.8480688068820856,1.9167591552631977
Forest,#008000,-0.8025092433232474,-2.2466176017288166
Mountain,#FF0000,-2.220220193034878,-2.167646541055526
Swamp,#000000,-0.09391205616440466,-2.286885691269044
Island,#0000FF,-1.5114244509691204,-2.2073174652100302
Plains,#FFFFFF,0.6150532753008754,-2.3260246453143725
Mobilized District,#777777,-2.928077052879876,-2.1250444575058705
Karn's Bastion,#777777,-2.9280577031036947,-2.1249825263209177
Interplanar Beacon,#777777,-2.9281681598012144,-2.125322486283953
Gateway Plaza,#777777,-2.92818827359291,-2.1253847218292963
Emergence Zone,#777777,-2.9281627687160694,-2.1252992576887904
Blast Zone,#777777,-2.9281832276176405,-2.1253655287035147
Saheeli's Silverwing,#777777,-2.7541230550430345,0.7839416527944321
Prismite,#777777,-2.8315457562366073,-0.629513798376874
Mana Geode,#777777,-2.8117619409317527,-0.004234470548088513
Iron Bully,#777777,-2.792873735326019,0.0770758092352629
Guild Globe,#777777,-2.8503112170471323,-0.7104718962585815
God-Pharaoh's Statue,#777777,-2.696014131265124,2.1147996065000383
Firemind Vessel,#777777,-2.7731433024307144,0.7022023111817391
"Vraska, Swarm's Eminence",#FFD700,6.44141870901067,0.18722923280457063
"Samut, Tyrant Smasher",#FFD700,2.188386512278406,0.42442232265412155
"Saheeli, Sublime Artificer",#FFD700,1.441029479987581,-0.24216442471550398
"Nahiri, Storm of Stone",#FFD700,3.606024790522379,0.3452398890782942
"Kiora, Behemoth Beckoner",#FFD700,4.276222756268012,-0.40081888034301755
"Kaya, Bane of the Dead",#FFD700,7.93601202629122,1.520042746361248
"Huatli, the Sun's Heart",#FFD700,7.1114781897053465,-0.559243926320853
"Dovin, Hand of Control",#FFD700,5.693839066727498,-0.48006454086206307
"Ashiok, Dream Render",#FFD700,4.985038140964434,-0.44041775776328473
"Angrath, Captain of Chaos",#FFD700,2.8972190307594863,0.38486556823920626
Widespread Brutality,#FFD700,2.8968805535398165,0.38381713222059455
Tyrant's Scorn,#FFD700,4.945864994677927,-1.1486174649244791
"Tolsimir, Friend to Wolves",#FFD700,7.208235229563241,0.9368661177407266
Time Wipe,#FFD700,5.77069962339006,0.9316496039139028
Tenth District Legionnaire,#FFD700,3.548047714729531,-0.9852860206498351
"Teferi, Time Raveler",#FFD700,5.693884434924254,-0.4799269612345831
"Tamiyo, Collector of Tales",#FFD700,4.314838060007348,0.305629407968692
"Storrev, Devkarin Lich",#FFD700,6.460786893017092,0.26998055490235334
Soul Diviner,#FFD700,4.965636575540535,-1.0646251943736016
"Sorin, Vengeful Bloodlord",#FFD700,7.85890194035779,0.10754783940883014
Solar Blaze,#FFD700,3.6056924581850534,0.34419327184578646
Rubblebelt Rioters,#FFD700,2.16907417418998,-0.19953267805236602
Role Reversal,#FFD700,1.4405550787852393,-0.24365513146956194
"Roalesk, Apex Hybrid",#FFD700,4.3729937285260245,1.0953462262125435
Ral's Outburst,#FFD700,1.4790879953876517,0.4624886340033022
"Ral, Storm Conduit",#FFD700,1.47946272573729,0.4636925949806614
Pledge of Unity,#FFD700,7.11100864778262,-0.5607530090485359
