name,color,x,y,z
Cabal Therapist,#000000,29.93606948852539,10.388341903686523,19.149917602539062
Serra the Benevolent,#FFFFFF,-1.0798087120056152,15.926407814025879,-5.300649642944336
Diabolic Edict,#000000,1.6106364727020264,-0.1661422699689865,-41.261409759521484
"Voja, Friend to Elves",#FFD700,-28.16761016845703,17.66301727294922,-8.076348304748535
Zombie Army,#000000,-27.070178985595703,14.524658203125,-10.91835880279541
"Tezzeret, Master of the Bridge",#FFD700,12.865242004394531,40.12030792236328,8.298271179199219
Orzhov Guildgate,#FFD700,-17.858705520629883,32.82724380493164,8.120083808898926
Gideon's Company,#FFFFFF,-17.36759376525879,2.508417844772339,-21.828872680664062
Gideon's Battle Cry,#FFFFFF,6.707347393035889,-16.78898811340332,33.29761505126953
Desperate Lunge,#FFFFFF,1.018738865852356,12.824458122253418,27.923582077026367
"Gideon, the Oathsworn",#FFFFFF,-8.437627792358398,17.683639526367188,16.826292037963867
Forest,#008000,31.917156219482422,-12.162277221679688,-12.65489673614502
Mountain,#FF0000,22.99522590637207,26.02266502380371,-22.390605926513672
Swamp,#000000,28.688819885253906,-32.68077087402344,7.08312463760376
Island,#0000FF,-34.424381256103516,37.27766799926758,-4.019388198852539
Plains,#FFFFFF,-9.34811019897461,-30.562795639038086,-26.361682891845703
Mobilized District,#777777,31.157384872436523,39.89842987060547,-4.6522064208984375
Karn's Bastion,#777777,-29.734798431396484,6.328365325927734,-32.500675201416016
Interplanar Beacon,#777777,-28.260101318359375,-2.490281820297241,3.155283212661743
Emergence Zone,#777777,15.23952579498291,17.7623291015625,-39.05573272705078
Saheeli's Silverwing,#777777,1.3998957872390747,-8.303427696228027,-15.690711975097656
Iron Bully,#777777,-17.707088470458984,-12.757298469543457,-2.620561361312866
God-Pharaoh's Statue,#777777,-6.863119602203369,-44.383934020996094,-17.15491485595703
Firemind Vessel,#777777,-19.579710006713867,11.561016082763672,6.018661975860596
"Vraska, Swarm's Eminence",#FFD700,-18.163280487060547,-7.8838605880737305,-8.903468132019043
"Samut, Tyrant Smasher",#FFD700,2.282364845275879,-2.330268383026123,-4.800280570983887
"Saheeli, Sublime Artificer",#FFD700,-2.439257860183716,-15.325016975402832,-21.610342025756836
"Nahiri, Storm of Stone",#FFD700,12.70881462097168,43.386375427246094,3.112490653991699
"Kiora, Behemoth Beckoner",#FFD700,-10.66360855102539,-7.629156589508057,-30.897232055664062
"Kaya, Bane of the Dead",#FFD700,38.2695426940918,-14.269359588623047,-6.114007949829102
"Dovin, Hand of Control",#FFD700,-28.949665069580078,-16.634048461914062,-28.09638023376465
"Angrath, Captain of Chaos",#FFD700,-0.3655194044113159,30.8435001373291,40.81390380859375
Widespread Brutality,#FFD700,9.832645416259766,-11.443442344665527,27.278234481811523
"Tolsimir, Friend to Wolves",#FFD700,18.416513442993164,-5.352543830871582,12.47705078125
Time Wipe,#FFD700,14.971851348876953,-2.5982577800750732,4.033181667327881
Tenth District Legionnaire,#FFD700,13.522143363952637,-21.627656936645508,-11.566783905029297
"Teferi, Time Raveler",#FFD700,12.383647918701172,-6.9825592041015625,-8.123757362365723
"Tamiyo, Collector of Tales",#FFD700,20.44180679321289,0.6833369135856628,0.05220796540379524
"Storrev, Devkarin Lich",#FFD700,8.150151252746582,-2.931936264038086,-38.16463088989258
"Sorin, Vengeful Bloodlord",#FFD700,4.64653205871582,12.444245338439941,-37.83009719848633
Solar Blaze,#FFD700,35.1588249206543,4.802946090698242,6.235125541687012
Role Reversal,#FFD700,30.30546760559082,-26.722497940063477,1.0848116874694824
"Roalesk, Apex Hybrid",#FFD700,-22.009428024291992,-0.7105898857116699,-40.38289260864258
Ral's Outburst,#FFD700,15.311920166015625,16.329757690429688,-3.499027967453003
"Ral, Storm Conduit",#FFD700,24.862388610839844,-5.341547012329102,14.633902549743652
Pledge of Unity,#FFD700,-15.001728057861328,-0.152740478515625,5.835325717926025
Niv-Mizzet Reborn,#FFD700,8.174015998840332,-1.1478811502456665,30.420562744140625
Neoform,#FFD700,30.63096809387207,-12.589578628540039,-13.271441459655762
Merfolk Skydiver,#FFD700,8.065552711486816,22.643489837646484,-1.7147047519683838
Mayhem Devil,#FFD700,23.37403678894043,-12.626118659973145,-3.4368703365325928
Living Twister,#FFD700,-2.484917640686035,-23.762086868286133,9.959259033203125
Leyline Prowler,#FFD700,22.903640747070312,-18.840517044067383,41.89211654663086
Invade the City,#FFD700,-42.148712158203125,-21.575485229492188,-4.0796966552734375
Gleaming Overseer,#FFD700,13.704181671142578,17.869735717773438,0.9241694808006287
"Feather, the Redeemed",#FFD700,-13.14766788482666,12.703756332397461,-5.073425769805908
Enter the God-Eternals,#FFD700,-0.24101929366588593,14.732041358947754,5.683261871337891
Dreadhorde Butcher,#FFD700,-16.30558204650879,-14.620149612426758,29.775798797607422
Dovin's Veto,#FFD700,-2.202930450439453,-43.315025329589844,7.4628987312316895
Domri's Ambush,#FFD700,-22.25657844543457,-12.899736404418945,12.41079330444336
"Domri, Anarch of Bolas",#FFD700,-8.365285873413086,-22.07290267944336,-18.81407928466797
Deathsprout,#FFD700,12.032989501953125,7.0043625831604,50.06340026855469
Cruel Celebrant,#FFD700,38.21482467651367,-26.869041442871094,-4.036457538604736
Angrath's Rampage,#FFD700,-16.222135543823242,-13.857239723205566,-20.243494033813477
"Ajani, the Greathearted",#FFD700,0.7453740239143372,-2.642981767654419,-24.18963050842285
Wardscale Crocodile,#008000,-7.479519367218018,28.962848663330078,-24.86461067199707
Vivien's Grizzly,#008000,0.5667768716812134,-5.378568172454834,7.422287940979004
Vivien's Arkbow,#008000,38.840396881103516,-21.63120460510254,-9.480619430541992
"Vivien, Champion of the Wilds",#008000,27.871013641357422,-31.72580909729004,-16.303586959838867
Thundering Ceratok,#008000,28.25900650024414,-10.031940460205078,-10.52995777130127
Steady Aim,#008000,-6.373579502105713,-24.367738723754883,35.28335952758789
Primordial Wurm,#008000,-20.419363021850586,19.698955535888672,-10.466024398803711
Pollenbright Druid,#008000,-3.879497528076172,10.940046310424805,7.865655899047852
Paradise Druid,#008000,8.968692779541016,1.5573810338974,-20.575809478759766
Nissa's Triumph,#008000,-12.60702133178711,31.41237449645996,-6.397333145141602
"Nissa, Who Shakes the World",#008000,-27.485342025756836,-10.302522659301758,5.841279983520508
"Mowu, Loyal Companion",#008000,-7.230869293212891,4.993934154510498,0.08235729485750198
Kronch Wrangler,#008000,-8.551599502563477,48.06178283691406,-11.054787635803223
