name,color,x,y,z
Cabal Therapist,#000000,-0.004954044707119465,0.0028581630904227495,-0.007048366125673056
Serra the Benevolent,#FFFFFF,-0.005634167231619358,-0.004077272955328226,-0.0008861713577061892
Diabolic Edict,#000000,-0.003902516793459654,-0.003964901901781559,0.008266019634902477
"Voja, Friend to Elves",#FFD700,0.03748590126633644,-6.332695193123072e-05,-0.0006005356553941965
Zombie Army,#000000,0.03748590126633644,-6.337108061416075e-05,-0.0006004886236041784
"Tezzeret, Master of the Bridge",#FFD700,0.0005260627949610353,-0.0027664510998874903,0.0003150329866912216
Orzhov Guildgate,#FFD700,0.005876322742551565,-0.0041923741810023785,0.008229753002524376
Gideon's Company,#FFFFFF,-0.000244725524680689,-0.0016334456158801913,0.003600071417167783
Gideon's Battle Cry,#FFFFFF,-0.007627966348081827,-0.0026960030663758516,-0.00023311679251492023
Desperate Lunge,#FFFFFF,-0.002530715661123395,0.006483055185526609,-0.0044466545805335045
"Gideon, the Oathsworn",#FFFFFF,0.008761921897530556,-0.003442388493567705,-0.004537609871476889
Forest,#008000,-0.005572978872805834,-0.0075860763899981976,-0.006582878064364195
Mountain,#FF0000,-0.00014110878692008555,-0.008047000505030155,0.00015383874415419996
Swamp,#000000,-0.010824947617948055,-0.005066824145615101,0.005903416313230991
Island,#0000FF,0.007967506535351276,-0.0008997301338240504,0.0030433228239417076
Plains,#FFFFFF,-0.005576117895543575,0.005520265083760023,-0.0023692313116043806
Mobilized District,#777777,0.004254584200680256,-0.003033346962183714,-0.001774865435436368
Karn's Bastion,#777777,0.012445204891264439,-0.004877190571278334,0.003923716023564339
Interplanar Beacon,#777777,0.004443013574928045,-0.01136489026248455,0.008539791218936443
Emergence Zone,#777777,-0.009978370741009712,-0.0042574601247906685,0.0019037562888115644
Saheeli's Silverwing,#777777,0.0011372794397175312,0.001163588254712522,0.002100578974932432
Iron Bully,#777777,0.007264879532158375,0.005500118248164654,0.00023852515732869506
God-Pharaoh's Statue,#777777,0.0003663409734144807,0.007580454461276531,-0.009933028370141983
Firemind Vessel,#777777,0.005914283916354179,-0.00031475521973334253,0.004348506685346365
